FID,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,Shape__Area,Shape__Length,CTPRVN_CD
129,42770,Jeongseon-gun,정선군,1218570965,231666.3457,42
130,42780,Cheorwon-gun,철원군,830259218,528099.8708,42
131,42790,Hwacheon-gun,화천군,906844867.9,178271.628,42
132,42800,Yanggu-gun,양구군,647691763.4,177483.8093,42
133,42810,Inje-gun,인제군,1615107024,254575.3283,42
134,42820,Goseong-gun,고성군,585596122.5,363984.7653,42
135,42830,Yangyang-gun,양양군,628542005.3,148943.1732,42
136,43111,"Sangdang-gu, Cheongju-si",청주시 상당구,403054866.5,145144.1285,43
137,43112,"Seowon-gu, Cheongju-si",청주시 서원구,123151484.3,83394.80432,43
138,43113,"Heungdeok-gu, Cheongju-si",청주시 흥덕구,198738309.4,75912.90199,43
139,43114,"Cheongwon-gu, Cheongju-si",청주시 청원구,214647488.9,88569.58427,43
140,43130,Chungju-si,충주시,980818169.6,217485.337,43
141,43150,Jecheon-si,제천시,881998903.6,228069.9321,43
142,43720,Boeun-gun,보은군,583202005,150422.4552,43
143,43730,Okcheon-gun,옥천군,541224543.8,148953.2099,43
144,43740,Yeongdong-gun,영동군,852017844.5,178161.6912,43
145,43745,Jeungpyeong-gun,증평군,81829999.24,66579.87955,43
146,43750,Jincheon-gun,진천군,407804494.1,125213.7365,43
147,43760,Goesan-gun,괴산군,841575096.1,208138.1323,43
148,43770,Eumseong-gun,음성군,519021060.4,172283.9906,43
149,43800,Danyang-gun,단양군,779817336.8,173257.8329,43
150,44131,"Dongnam-gu, Cheonan-si",천안시동남구,438324760.5,165654.7212,44
151,44133,"Seobuk-gu, Cheonan-si",천안시서북구,197878576,92842.89613,44
152,44150,Gongju-si,공주시,863175831.3,198970.7568,44
153,44180,Boryeong-si,보령시,574873872.8,344373.6816,44
154,44200,Asan-si,아산시,542654302.8,122660.2523,44
155,44210,Seosan-si,서산시,739730621.8,256794.1723,44
156,44230,Nonsan-si,논산시,553469845.2,149919.3625,44
157,44250,Gyeryong-si,계룡시,60762525.24,45577.89573,44
158,44270,Dangjin-si,당진시,701547704.6,191828.8702,44
159,44710,Geumsan-gun,금산군,576206124.9,155612.6189,44
160,44760,Buyeo-gun,부여군,624080375.7,171252.2279,44
161,44770,Seocheon-gun,서천군,357493432.5,153785.4717,44
162,44790,Cheongyang-gun,청양군,479353528,138333.9674,44
163,44800,Hongseong-gun,홍성군,443147762.6,156730.3915,44
164,44810,Yesan-gun,예산군,543161350.7,171646.4893,44
165,44825,Taean-gun,태안군,504842893.8,556686.5297,44
166,45111,"Wansan-gu, Jeonju-si",전주시완산구,94148413.82,65658.62001,45
167,45113,"Deokjin-gu, Jeonju-si",전주시덕진구,110773201.8,73988.984,45
168,45130,Gunsan-si,군산시,395147930.9,335641.2978,45
169,45140,Iksan-si,익산시,507034177.6,127782.9025,45
170,45180,Jeongeup-si,정읍시,697149907.3,188598.4433,45
171,45190,Namwon-si,남원시,749675375.7,188031.2095,45
172,45210,Gimje-si,김제시,545853657.3,170611.2469,45
173,45710,Wanju-gun,완주군,821364379.7,267628.771,45
174,45720,Jinan-gun,진안군,788343099.7,170362.1539,45
175,45730,Muju-gun,무주군,629529060.2,157218.3413,45
176,45740,Jangsu-gun,장수군,531666902.6,156716.7705,45
177,45750,Imsil-gun,임실군,596157448.7,166117.1851,45
178,45770,Sunchang-gun,순창군,499412389.4,177134.3675,45
179,45790,Gochang-gun,고창군,606493011.5,176451.0871,45
180,45800,Buan-gun,부안군,493439807,241362.5439,45
181,46110,Mokpo-si,목포시,51791277.21,93368.74231,46
182,46130,Yeosu-si,여수시,500834917.7,884443.967,46
183,46150,Suncheon-si,순천시,909048926.6,235342.2696,46
184,46170,Naju-si,나주시,605386579.2,192230.0437,46
185,46230,Gwangyang-si,광양시,457257752,212029.7232,46
186,46710,Damyang-gun,담양군,453178248.8,151543.2691,46
187,46720,Gokseong-gun,곡성군,547895399.8,134029.5692,46
188,46730,Gurye-gun,구례군,439263835.8,97866.72155,46
189,46770,Goheung-gun,고흥군,806293869.3,713827.8828,46
190,46780,Boseong-gun,보성군,663817349.2,237084.9648,46
191,46790,Hwasun-gun,화순군,787550523.5,176743.0881,46
192,46800,Jangheung-gun,장흥군,615525479.6,233496.6388,46
193,46810,Gangjin-gun,강진군,498201768,206926.9507,46
194,46820,Haenam-gun,해남군,921523251.6,535539.4431,46
195,46830,Yeongam-gun,영암군,583339792.4,243488.6176,46
196,46840,Muan-gun,무안군,452604255.3,296654.6703,46
197,46860,Hampyeong-gun,함평군,389208655.1,135800.1371,46
198,46870,Yeonggwang-gun,영광군,472579797.4,295309.7249,46
199,46880,Jangseong-gun,장성군,517905117,146898.6745,46
200,46890,Wando-gun,완도군,392679507.7,907825.2621,46
201,46900,Jindo-gun,진도군,438016662.1,589227.4575,46
202,46910,Sinan-gun,신안군,650896853,1699408.345,46
203,47111,"Nam-gu, Pohang-si",포항시 남구,393216267.2,189027.7118,47
204,47113,"Buk-gu, Pohang-si",포항시 북구,734545848.2,204139.6724,47
205,47130,Gyeongju-si,경주시,1318600935,258622.7597,47
206,47150,Gimcheon-si,김천시,1004567524,210238.4312,47
207,47170,Andong-si,안동시,1526804863,275289.6045,47
208,47190,Gumi-si,구미시,613235208.2,164560.0055,47
209,47210,Yeongju-si,영주시,672587821.2,179273.0087,47
210,47230,Yeongcheon-si,영천시,915065245,179597.7324,47
211,47250,Sangju-si,상주시,1251381176,246313.6477,47
212,47280,Mungyeong-si,문경시,913947851.4,226412.8806,47
213,47290,Gyeongsan-si,경산시,410792962.3,132174.3621,47
214,47720,Gunwi-gun,군위군,613071830.7,186699.5207,47
215,47730,Uiseong-gun,의성군,1169327050,238713.7255,47
216,47750,Cheongsong-gun,청송군,846689562.3,195495.1262,47
217,47760,Yeongyang-gun,영양군,819134674.7,171149.9953,47
218,47770,Yeongdeok-gun,영덕군,742428700.2,181928.494,47
219,47820,Cheongdo-gun,청도군,692905501.3,186503.2666,47
220,47830,Goryeong-gun,고령군,386399621.9,148790.1826,47
221,47840,Seongju-gun,성주군,612521741.7,147279.7896,47
222,47850,Chilgok-gun,칠곡군,450170810,146812.8746,47
223,47900,Yecheon-gun,예천군,664186143.4,178139.7093,47
224,47920,Bonghwa-gun,봉화군,1200850680,238013.7831,47
225,47930,Uljin-gun,울진군,991355867.7,243325.5945,47
226,47940,Ulleung-gun,울릉군,73875073.01,71093.71219,47
227,48121,"Uichang-gu, Changwon-si",창원시 의창구,210688282.4,96163.86308,48
228,48123,"Seongsan-gu, Changwon-si",창원시 성산구,81973661.84,65588.86709,48
229,48125,"Masanhappo-gu, Changwon-si",창원시 마산합포구,240082313.3,226111.5328,48
230,48127,"Masanhoewon-gu, Changwon-si",창원시 마산회원구,90842125.27,54071.29616,48
231,48129,"Jinhae-gu, Changwon-si",창원시 진해구,122421962.5,165303.6586,48
232,48170,Jinju-si,진주시,712401014.2,172988.8468,48
233,48220,Tongyeong-si,통영시,235283165.5,656484.7222,48
234,48240,Sacheon-si,사천시,398711438.3,297114.2906,48
235,48250,Gimhae-si,김해시,461674310.6,113363.4391,48
236,48270,Miryang-si,밀양시,801056285,159712.9509,48
237,48310,Geoje-si,거제시,400549738.7,449503.8063,48
238,48330,Yangsan-si,양산시,486448369.1,119561.8721,48
239,48720,Uiryeong-gun,의령군,481408133.1,142808.9199,48
240,48730,Haman-gun,함안군,415514267.7,122484.3753,48
241,48740,Changnyeong-gun,창녕군,530195966.1,137490.29,48
242,48820,Goseong-gun,고성군,516685282.7,294224.3578,48
243,48840,Namhae-gun,남해군,356978097.2,349223.8506,48
244,48850,Hadong-gun,하동군,673070408.7,225783.7545,48
245,48860,Sancheong-gun,산청군,791381760.3,166041.9901,48
246,48870,Hamyang-gun,함양군,720434916.1,166446.5427,48
247,48880,Geochang-gun,거창군,798894760.1,185356.9635,48
248,48890,Hapcheon-gun,합천군,983099850.9,208032.1427,48
249,50110,Jeju-si,제주시,976851092.7,353248.0748,50
250,50130,Seogwipo-si,서귀포시,868696549.7,278862.8695,50
